 

stn    time           gre000z0  prestas0  ure200s0
THU    202405010000          0     944.2      77.7
THU    202405010010          0     944.1      82.4
THU    202405010020          0     944.0      88.0
THU    202405010030          0     943.9      89.4
THU    202405010040          0     943.9      83.9
THU    202405010050          0     943.9      81.7
THU    202405010100          0     943.9      87.9
THU    202405010110          0     944.0      87.8
THU    202405010120          0     943.9      92.3
THU    202405010130          0     943.8      93.5
THU    202405010140          0     943.7      91.9
THU    202405010150          0     943.6      90.6
THU    202405010200          0     943.5      95.0
THU    202405010210          0     943.4      92.8
THU    202405010220          0     943.3      94.8
THU    202405010230          0     943.3      93.3
THU    202405010240          0     943.2      96.8
THU    202405010250          0     943.1      95.5
THU    202405010300          0     943.1      94.9
THU    202405010310          0     942.9      97.7
THU    202405010320          0     942.7      94.2
THU    202405010330          0     942.6      98.1
THU    202405010340          0     942.5      96.0
THU    202405010350          0     942.4      94.4
THU    202405010400          0     942.4      91.8
THU    202405010410          0     942.3      90.5
THU    202405010420          0     942.3      94.2
THU    202405010430          2     942.2      95.7
THU    202405010440          9     942.2      98.8
THU    202405010450         20     942.0      97.5
THU    202405010500         30     942.0      96.0
THU    202405010510         38     941.9      92.4
THU    202405010520         45     941.8      95.4
THU    202405010530         58     941.7      94.9
THU    202405010540         72     941.6      94.3
THU    202405010550         86     941.5      92.1
THU    202405010600         99     941.4      89.7
THU    202405010610        112     941.4      87.6
THU    202405010620        150     941.3      89.0
THU    202405010630        205     941.2      84.4
THU    202405010640        234     941.1      77.1
THU    202405010650        250     940.8      76.6
THU    202405010700        302     940.6      71.7
THU    202405010710        341     940.5      63.9
THU    202405010720        337     940.3      65.4
THU    202405010730        387     940.3      65.1
THU    202405010740        440     940.2      64.9
THU    202405010750        424     940.0      62.3
THU    202405010800        409     939.9      61.8
THU    202405010810        422     939.8      56.8
THU    202405010820        398     939.7      56.5
THU    202405010830        342     939.6      58.8
THU    202405010840        388     939.4      58.4
THU    202405010850        516     939.3      57.0
THU    202405010900        485     939.2      54.9
THU    202405010910        338     939.0      54.3
THU    202405010920        277     938.9      53.7
THU    202405010930        260     938.8      55.1
THU    202405010940        298     938.7      56.3
THU    202405010950        294     938.6      55.9
THU    202405011000        283     938.5      56.4
THU    202405011010        431     938.3      56.0
THU    202405011020        549     938.2      54.0
THU    202405011030        665     938.0      54.5
THU    202405011040        652     937.8      53.9
THU    202405011050        790     937.6      52.6
THU    202405011100        967     937.5      46.2
THU    202405011110        844     937.4      44.0
THU    202405011120        722     937.2      39.6
THU    202405011130        480     937.1      37.5
THU    202405011140        586     937.0      37.9
THU    202405011150        429     936.8      38.2
THU    202405011200        340     936.8      40.0
THU    202405011210        558     936.7      40.8
THU    202405011220        342     936.6      38.5
THU    202405011230        310     936.5      38.7
THU    202405011240        307     936.4      40.0
THU    202405011250        294     936.4      40.4
THU    202405011300        271     936.3      40.6
THU    202405011310        272     936.2      37.7
THU    202405011320        300     936.1      40.1
THU    202405011330        317     936.0      38.5
THU    202405011340        313     936.0      38.8
THU    202405011350        296     936.0      43.8
THU    202405011400        284     936.1      43.0
THU    202405011410        277     936.1      39.0
THU    202405011420        228     936.0      38.4
THU    202405011430        171     936.0      38.0
THU    202405011440        136     936.0      40.8
THU    202405011450        111     936.0      41.1
THU    202405011500        100     936.0      40.8
THU    202405011510         96     935.9      39.6
THU    202405011520         95     935.8      39.5
THU    202405011530         88     935.9      39.7
THU    202405011540         84     936.0      39.7
THU    202405011550         84     936.0      39.9
THU    202405011600         79     936.0      39.6
THU    202405011610         75     936.0      39.5
THU    202405011620         77     935.9      39.6
THU    202405011630         73     936.0      40.3
THU    202405011640         65     935.9      39.7
THU    202405011650         63     935.8      39.5
THU    202405011700         53     935.9      39.5
THU    202405011710         47     935.8      40.2
THU    202405011720         36     935.9      39.7
THU    202405011730         29     935.9      40.0
THU    202405011740         28     935.9      39.2
THU    202405011750         21     936.0      39.2
THU    202405011800         17     936.0      39.0
THU    202405011810         12     936.0      39.1
THU    202405011820          8     936.0      40.0
THU    202405011830          2     936.1      39.3
THU    202405011840          0     936.1      39.9
THU    202405011850          0     936.1      40.0
THU    202405011900          0     936.0      39.8
THU    202405011910          0     936.0      40.3
THU    202405011920          0     936.0      40.0
THU    202405011930          0     936.1      40.3
THU    202405011940          0     936.0      39.8
THU    202405011950          0     936.1      42.8
THU    202405012000          0     936.1      48.8
THU    202405012010          0     936.2      50.5
THU    202405012020          0     936.1      48.4
THU    202405012030          0     936.1      49.2
THU    202405012040          0     936.0      44.8
THU    202405012050          0     936.0      47.3
THU    202405012100          0     936.0      50.6
THU    202405012110          0     935.9      61.9
THU    202405012120          0     935.9      58.3
THU    202405012130          0     935.9      63.1
THU    202405012140          0     935.9      64.7
THU    202405012150          0     935.9      59.8
THU    202405012200          0     936.0      61.6
THU    202405012210          0     936.0      61.4
THU    202405012220          0     936.2      68.8
THU    202405012230          0     936.1      69.4
THU    202405012240          0     936.2      74.8
THU    202405012250          0     936.2      73.5
THU    202405012300          0     936.2      71.2
THU    202405012310          0     936.1      70.6
THU    202405012320          0     936.1      76.3
THU    202405012330          0     936.0      77.9
THU    202405012340          0     935.9      82.3
THU    202405012350          0     935.9      81.8
THU    202405020000          0     935.9      81.0
THU    202405020010          0     935.9      82.7
THU    202405020020          0     935.9      87.7
THU    202405020030          0     935.9      78.9
THU    202405020040          0     935.9      81.1
THU    202405020050          0     935.9      79.3
THU    202405020100          0     935.8      79.3
THU    202405020110          0     935.7      82.9
THU    202405020120          0     935.7      86.1
THU    202405020130          0     935.7      85.5
THU    202405020140          0     935.7      83.7
THU    202405020150          0     935.6      83.7
THU    202405020200          0     935.5      91.3
THU    202405020210          0     935.5      91.1
THU    202405020220          0     935.5      89.9
THU    202405020230          0     935.5      90.8
THU    202405020240          0     935.5      87.2
THU    202405020250          0     935.4      87.3
THU    202405020300          0     935.3      86.4
THU    202405020310          0     935.2      84.4
THU    202405020320          0     935.1      85.6
THU    202405020330          0     935.0      88.6
THU    202405020340          0     935.0      91.0
THU    202405020350          0     935.1      91.6
THU    202405020400          0     935.1      89.8
THU    202405020410          0     935.2      93.5
THU    202405020420          0     935.1      94.7
THU    202405020430          7     935.2      93.9
THU    202405020440         20     935.2      90.1
THU    202405020450         16     935.3      91.0
THU    202405020500         19     935.2      94.2
THU    202405020510         34     935.3      95.2
THU    202405020520         44     935.3      92.2
THU    202405020530         52     935.3      92.4
THU    202405020540         76     935.1      92.1
THU    202405020550         96     935.1      87.8
THU    202405020600         94     935.0      84.6
THU    202405020610        106     935.0      83.7
THU    202405020620        173     934.8      82.6
THU    202405020630        201     934.8      79.1
THU    202405020640        190     934.8      77.1
THU    202405020650        138     934.8      75.6
THU    202405020700        168     934.7      75.1
THU    202405020710        202     934.8      75.9
THU    202405020720        214     934.8      73.4
THU    202405020730        227     934.8      71.3
THU    202405020740        180     934.9      71.4
THU    202405020750        171     934.9      69.9
THU    202405020800        136     934.9      70.9
THU    202405020810        146     934.9      71.7
THU    202405020820        148     935.0      72.0
THU    202405020830         92     935.0      72.8
THU    202405020840         93     935.0      73.6
THU    202405020850         97     935.0      73.6
THU    202405020900        112     935.0      74.4
THU    202405020910         50     935.1      80.5
THU    202405020920         47     935.2      90.6
THU    202405020930         87     935.4      96.0
THU    202405020940        172     935.3      98.1
THU    202405020950        257     935.4      97.3
THU    202405021000        215     935.7      94.3
THU    202405021010        202     935.7      87.1
THU    202405021020        175     935.7      80.6
THU    202405021030        131     935.7      79.6
THU    202405021040        158     935.8      77.2
THU    202405021050        170     935.9      79.8
THU    202405021100        221     936.1      79.8
THU    202405021110        246     936.1      78.9
THU    202405021120        291     936.1      80.7
THU    202405021130        595     936.1      81.5
THU    202405021140        270     936.3      78.6
THU    202405021150        148     936.6      79.1
THU    202405021200        142     936.8      79.6
THU    202405021210        130     936.9      82.9
THU    202405021220         76     937.1      81.9
THU    202405021230         65     937.3      83.0
THU    202405021240         46     937.5      82.7
THU    202405021250         27     937.8      84.1
THU    202405021300         29     938.0      85.6
THU    202405021310         30     938.1      87.6
THU    202405021320         47     938.3      87.8
THU    202405021330         71     938.4      86.8
THU    202405021340         66     938.5      85.9
THU    202405021350         67     938.6      86.1
THU    202405021400         65     938.7      87.1
THU    202405021410         78     938.8      88.2
THU    202405021420         96     939.0      91.0
THU    202405021430         96     939.2      94.7
THU    202405021440        100     939.2      96.9
THU    202405021450         97     939.4      98.3
THU    202405021500         90     939.5      98.1
THU    202405021510         80     939.7      97.3
THU    202405021520         82     939.8      95.8
THU    202405021530         86     940.0      95.2
THU    202405021540        115     940.1      98.3
THU    202405021550         86     940.3      98.9
THU    202405021600         93     940.4      98.9
THU    202405021610         95     940.5      96.8
THU    202405021620        101     940.4      99.0
THU    202405021630         93     940.6      99.2
THU    202405021640         92     940.8      97.7
THU    202405021650         84     940.9      97.4
THU    202405021700         69     941.1      97.5
THU    202405021710         49     941.3      91.9
THU    202405021720         47     941.5      93.7
THU    202405021730         36     941.7      94.4
THU    202405021740         18     941.8      97.5
THU    202405021750         14     941.9      94.8
THU    202405021800         12     942.1      90.1
THU    202405021810         10     942.3      93.5
THU    202405021820          6     942.5      95.7
THU    202405021830          1     942.7      94.0
THU    202405021840          0     942.8      93.4
THU    202405021850          0     943.1      96.4
THU    202405021900          0     943.2      99.0
THU    202405021910          0     943.3      97.7
THU    202405021920          0     943.4      97.8
THU    202405021930          0     943.6      98.6
THU    202405021940          0     943.8      99.2
THU    202405021950          0     943.8      99.3
THU    202405022000          0     944.0      99.3
THU    202405022010          0     944.1      99.3
THU    202405022020          0     944.1      99.3
THU    202405022030          0     944.3      99.3
THU    202405022040          0     944.5      99.3
THU    202405022050          0     944.6      99.3
