 

stn    time           tre200s0  tpo200s0
THU    202405010000       10.2      14.9
THU    202405010010        8.8      13.5
THU    202405010020        8.3      13.0
THU    202405010030        7.9      12.6
THU    202405010040        8.8      13.5
THU    202405010050        8.9      13.6
THU    202405010100        7.5      12.2
THU    202405010110        7.7      12.4
THU    202405010120        6.7      11.4
THU    202405010130        6.6      11.3
THU    202405010140        6.9      11.6
THU    202405010150        7.2      11.9
THU    202405010200        6.2      10.9
THU    202405010210        6.7      11.4
THU    202405010220        6.2      10.9
THU    202405010230        6.2      10.9
THU    202405010240        5.7      10.4
THU    202405010250        6.2      10.9
THU    202405010300        6.0      10.7
THU    202405010310        5.9      10.6
THU    202405010320        6.1      10.9
THU    202405010330        5.7      10.5
THU    202405010340        6.2      11.0
THU    202405010350        6.5      11.3
THU    202405010400        6.9      11.7
THU    202405010410        7.1      11.9
THU    202405010420        6.2      11.0
THU    202405010430        6.3      11.1
THU    202405010440        6.1      10.9
THU    202405010450        6.6      11.4
THU    202405010500        6.8      11.6
THU    202405010510        7.4      12.2
THU    202405010520        7.4      12.3
THU    202405010530        7.8      12.7
THU    202405010540        8.3      13.2
THU    202405010550        8.8      13.7
THU    202405010600        9.2      14.1
THU    202405010610        9.5      14.4
THU    202405010620        9.7      14.6
THU    202405010630       10.2      15.2
THU    202405010640       10.9      15.9
THU    202405010650       11.6      16.6
THU    202405010700       12.3      17.3
THU    202405010710       12.8      17.9
THU    202405010720       13.0      18.1
THU    202405010730       13.3      18.4
THU    202405010740       13.5      18.6
THU    202405010750       13.8      18.9
THU    202405010800       14.1      19.2
THU    202405010810       14.4      19.5
THU    202405010820       14.8      20.0
THU    202405010830       14.9      20.1
THU    202405010840       15.1      20.3
THU    202405010850       15.4      20.6
THU    202405010900       15.8      21.0
THU    202405010910       16.0      21.2
THU    202405010920       16.1      21.4
THU    202405010930       16.1      21.4
THU    202405010940       16.3      21.6
THU    202405010950       16.4      21.7
THU    202405011000       16.6      21.9
THU    202405011010       16.9      22.2
THU    202405011020       17.3      22.6
THU    202405011030       17.8      23.2
THU    202405011040       18.2      23.6
THU    202405011050       19.0      24.4
THU    202405011100       19.6      25.1
THU    202405011110       20.0      25.5
THU    202405011120       20.3      25.8
THU    202405011130       20.6      26.1
THU    202405011140       20.9      26.4
THU    202405011150       20.8      26.3
THU    202405011200       20.4      25.9
THU    202405011210       20.6      26.1
THU    202405011220       20.4      25.9
THU    202405011230       20.3      25.9
THU    202405011240       20.0      25.6
THU    202405011250       20.1      25.7
THU    202405011300       20.2      25.8
THU    202405011310       20.2      25.8
THU    202405011320       20.3      25.9
THU    202405011330       20.6      26.2
THU    202405011340       20.7      26.3
THU    202405011350       20.7      26.3
THU    202405011400       20.8      26.4
THU    202405011410       20.8      26.4
THU    202405011420       20.4      26.0
THU    202405011430       19.8      25.4
THU    202405011440       18.8      24.4
THU    202405011450       18.5      24.1
THU    202405011500       18.6      24.2
THU    202405011510       18.6      24.2
THU    202405011520       18.5      24.1
THU    202405011530       18.6      24.2
THU    202405011540       18.6      24.2
THU    202405011550       18.5      24.1
THU    202405011600       18.4      24.0
THU    202405011610       18.3      23.9
THU    202405011620       18.3      23.9
THU    202405011630       18.0      23.6
THU    202405011640       18.1      23.7
THU    202405011650       18.1      23.7
THU    202405011700       18.1      23.7
THU    202405011710       17.9      23.5
THU    202405011720       17.9      23.5
THU    202405011730       17.7      23.3
THU    202405011740       17.8      23.4
THU    202405011750       17.7      23.3
THU    202405011800       17.7      23.3
THU    202405011810       17.6      23.1
THU    202405011820       17.3      22.8
THU    202405011830       17.4      22.9
THU    202405011840       17.1      22.6
THU    202405011850       17.0      22.5
THU    202405011900       17.0      22.5
THU    202405011910       16.8      22.3
THU    202405011920       16.8      22.3
THU    202405011930       16.8      22.3
THU    202405011940       16.9      22.4
THU    202405011950       16.2      21.7
THU    202405012000       14.9      20.4
THU    202405012010       14.7      20.2
THU    202405012020       15.1      20.6
THU    202405012030       14.9      20.4
THU    202405012040       15.8      21.3
THU    202405012050       15.2      20.7
THU    202405012100       14.5      20.0
THU    202405012110       12.8      18.3
THU    202405012120       13.5      19.0
THU    202405012130       12.6      18.1
THU    202405012140       12.2      17.7
THU    202405012150       13.1      18.6
THU    202405012200       12.7      18.2
THU    202405012210       12.9      18.4
THU    202405012220       11.9      17.3
THU    202405012230       11.8      17.2
THU    202405012240       10.7      16.1
THU    202405012250       11.0      16.4
THU    202405012300       11.4      16.8
THU    202405012310       11.3      16.7
THU    202405012320       10.7      16.1
THU    202405012330       10.3      15.7
THU    202405012340        9.9      15.3
THU    202405012350        9.9      15.3
THU    202405020000        9.9      15.3
THU    202405020010        9.7      15.1
THU    202405020020        9.5      14.9
THU    202405020030       10.6      16.0
THU    202405020040       10.3      15.7
THU    202405020050       10.6      16.0
THU    202405020100       10.7      16.1
THU    202405020110       10.4      15.8
THU    202405020120       10.1      15.5
THU    202405020130       10.3      15.7
THU    202405020140       10.4      15.8
THU    202405020150       10.4      15.8
THU    202405020200        9.8      15.2
THU    202405020210        9.8      15.2
THU    202405020220        9.9      15.3
THU    202405020230        9.8      15.2
THU    202405020240       10.2      15.7
THU    202405020250       10.3      15.8
THU    202405020300       10.4      15.9
THU    202405020310       10.5      16.0
THU    202405020320       10.4      15.9
THU    202405020330       10.1      15.6
THU    202405020340        9.9      15.4
THU    202405020350        9.8      15.3
THU    202405020400       10.0      15.5
THU    202405020410        9.6      15.1
THU    202405020420        9.6      15.1
THU    202405020430        9.8      15.3
THU    202405020440       10.2      15.7
THU    202405020450       10.0      15.5
THU    202405020500        9.9      15.4
THU    202405020510       10.0      15.5
THU    202405020520       10.5      16.0
THU    202405020530       10.9      16.4
THU    202405020540       11.3      16.8
THU    202405020550       11.7      17.2
THU    202405020600       11.9      17.4
THU    202405020610       12.1      17.6
THU    202405020620       12.4      18.0
THU    202405020630       12.7      18.3
THU    202405020640       13.0      18.6
THU    202405020650       13.0      18.6
THU    202405020700       13.1      18.7
THU    202405020710       13.3      18.9
THU    202405020720       13.4      19.0
THU    202405020730       13.5      19.1
THU    202405020740       13.7      19.3
THU    202405020750       13.9      19.5
THU    202405020800       14.1      19.7
THU    202405020810       14.1      19.7
THU    202405020820       14.2      19.8
THU    202405020830       14.3      19.9
THU    202405020840       14.3      19.9
THU    202405020850       14.3      19.9
THU    202405020900       14.5      20.1
THU    202405020910       14.0      19.6
THU    202405020920       13.3      18.8
THU    202405020930       12.9      18.4
THU    202405020940       13.1      18.6
THU    202405020950       13.4      18.9
THU    202405021000       13.2      18.7
THU    202405021010       12.8      18.3
THU    202405021020       12.1      17.6
THU    202405021030       11.9      17.4
THU    202405021040       11.9      17.4
THU    202405021050       11.8      17.2
THU    202405021100       11.9      17.3
THU    202405021110       12.1      17.5
THU    202405021120       11.9      17.3
THU    202405021130       12.6      18.0
THU    202405021140       12.6      18.0
THU    202405021150       12.1      17.5
THU    202405021200       11.8      17.2
THU    202405021210       11.5      16.9
THU    202405021220       11.4      16.7
THU    202405021230       11.4      16.7
THU    202405021240       10.9      16.2
THU    202405021250       10.7      16.0
THU    202405021300       10.6      15.8
THU    202405021310       10.5      15.7
THU    202405021320       10.5      15.7
THU    202405021330       10.6      15.8
THU    202405021340       10.7      15.9
THU    202405021350       10.7      15.9
THU    202405021400       10.7      15.9
THU    202405021410       10.7      15.9
THU    202405021420       10.6      15.8
THU    202405021430       10.3      15.4
THU    202405021440       10.3      15.4
THU    202405021450       10.3      15.4
THU    202405021500       10.3      15.4
THU    202405021510       10.4      15.5
THU    202405021520       10.4      15.5
THU    202405021530       10.4      15.5
THU    202405021540       10.4      15.5
THU    202405021550       10.4      15.4
THU    202405021600       10.6      15.6
THU    202405021610       10.7      15.7
THU    202405021620       10.6      15.6
THU    202405021630       10.5      15.5
THU    202405021640       10.6      15.6
THU    202405021650       10.5      15.5
THU    202405021700       10.4      15.4
THU    202405021710       10.2      15.1
THU    202405021720        9.9      14.8
THU    202405021730        9.8      14.7
THU    202405021740        9.6      14.5
THU    202405021750        9.6      14.5
THU    202405021800        9.6      14.5
THU    202405021810        9.3      14.1
THU    202405021820        9.1      13.9
THU    202405021830        9.0      13.8
THU    202405021840        8.9      13.7
THU    202405021850        8.7      13.5
THU    202405021900        8.6      13.3
THU    202405021910        8.6      13.3
THU    202405021920        8.7      13.4
THU    202405021930        8.5      13.2
THU    202405021940        8.4      13.1
THU    202405021950        8.1      12.8
THU    202405022000        8.1      12.8
THU    202405022010        8.2      12.9
THU    202405022020        8.4      13.1
THU    202405022030        8.3      12.9
THU    202405022040        8.3      12.9
THU    202405022050        8.3      12.9
THU    202405022100        8.3      12.9
THU    202405022110        8.2      12.8
THU    202405022120        8.0      12.6
THU    202405022130        8.0      12.6
THU    202405022140        8.1      12.7
THU    202405022150        7.9      12.5
THU    202405022200        7.8      12.3
THU    202405022210        7.9      12.4
THU    202405022220        8.0      12.5
THU    202405022230        8.1      12.6
THU    202405022240        8.0      12.5
THU    202405022250        7.9      12.4
THU    202405022300        8.0      12.5
THU    202405022310        8.2      12.7
THU    202405022320        8.1      12.6
THU    202405022330        8.1      12.6
THU    202405022340        7.8      12.3
THU    202405022350        7.8      12.3
THU    202405030000        7.8      12.3
THU    202405030010        7.7      12.2
THU    202405030020        7.8      12.3
THU    202405030030        7.7      12.1
THU    202405030040        7.8      12.2
THU    202405030050        7.6      12.0
THU    202405030100        7.5      11.9
THU    202405030110        7.4      11.8
THU    202405030120        7.6      12.0
THU    202405030130        7.7      12.1
THU    202405030140        7.7      12.1
THU    202405030150        7.8      12.2
THU    202405030200        7.7      12.1
THU    202405030210        7.7      12.0
THU    202405030220        7.6      11.9
THU    202405030230        7.9      12.2
THU    202405030240        8.4      12.8
THU    202405030250        8.4      12.7
THU    202405030300        8.5      12.8
THU    202405030310        8.1      12.4
THU    202405030320        7.6      11.9
THU    202405030330        7.7      12.0
THU    202405030340        7.8      12.1
THU    202405030350        7.9      12.2
THU    202405030400        7.8      12.1
THU    202405030410        7.7      12.0
THU    202405030420        7.5      11.8
THU    202405030430        7.5      11.8
THU    202405030440        7.7      12.0
THU    202405030450        7.7      12.0
THU    202405030500        7.7      12.0
THU    202405030510        7.6      11.8
THU    202405030520        7.7      11.9
THU    202405030530        7.7      11.9
THU    202405030540        7.5      11.7
THU    202405030550        7.6      11.8
THU    202405030600        7.6      11.8
THU    202405030610        7.5      11.7
THU    202405030620        7.6      11.8
THU    202405030630        7.6      11.8
THU    202405030640        7.6      11.8
THU    202405030650        7.7      11.9
THU    202405030700        7.9      12.1
THU    202405030710        8.2      12.4
THU    202405030720        8.4      12.6
THU    202405030730        8.5      12.7
THU    202405030740        8.5      12.7
THU    202405030750        8.6      12.8
THU    202405030800        8.6      12.8
THU    202405030810        8.6      12.8
THU    202405030820        8.9      13.1
THU    202405030830        8.9      13.1
THU    202405030840        9.0      13.2
THU    202405030850        9.1      13.3
THU    202405030900        9.3      13.5
THU    202405030910        9.6      13.8
THU    202405030920        9.6      13.8
THU    202405030930        9.9      14.1
THU    202405030940       10.2      14.4
THU    202405030950       10.6      14.8
THU    202405031000       10.9      15.1
THU    202405031010       10.8      15.0
THU    202405031020       10.7      14.9
THU    202405031030       10.8      15.0
THU    202405031040       10.6      14.8
THU    202405031050       10.6      14.8
THU    202405031100       11.0      15.2
THU    202405031110       11.2      15.4
THU    202405031120       11.4      15.6
THU    202405031130       11.6      15.8
THU    202405031140       11.5      15.7
