 

stn    time           wkcap2d0  wkcap3d0  wkcap1d0  wkwtg1d0  wkwtp1d0  wkwtg2d0  wkwtp2d0  wkwtg3d0  wkwtp3d0  wkwtg0d0
RHW    20240501              7        19         7         7         8         7         8         7         8         7
RHW    20240502             14        19         7         8         2         8         2         8         2         7
RHW    20240503              1        10         2         6         3         6        11         6        11         7
RHW    20240504              1         1         1         2         3        10        11        18        11         2
RHW    20240505             11         4         2         1         1         9         9         9         9         1
RHW    20240506              7         6         2         2         1        10         9        10        17         2
RHW    20240507              1         3         1         2         5         2         5         2         5         7
RHW    20240508              3         9         4         5         5         5         5         5         5         5
RHW    20240509              3         9         4         4         6        12        14        12        14         5
RHW    20240510              3         9         4         4         6        12        14        12        22         4
RHW    20240511              2         2         4         4         6        12        14        12        14         4
RHW    20240512              6         1         3         3         8        11         8        11         8         1
RHW    20240513              4         4         2         3         8        11        16        19        16         2
RHW    20240514              7        19         2         2         8        10        16        18        24         8
RHW    20240515              7        19         7         8         8        16         8        24         8         8
RHW    20240516              7        19         7         8         8         8         8         8         8         8
RHW    20240517              7         6         2         2         2         2         2         2         2         1
RHW    20240518              7         4         2         2         2         2         2        18         2         2
RHW    20240519              7         6         2         2         2         2        10        18        10         2
RHW    20240520              7        14         6         2         7        10         7        18         7         2
RHW    20240521              8         6         6         8         9         8        17         8        25         8
RHW    20240522              1         4         2         2         3         2        11         2        19         2
RHW    20240523              4         1         1         2         3         2         3         2         3         8
RHW    20240524              2         1         3         2         1         2         1         2         1         2
RHW    20240525              2         1         1         2         5         2        13         2        13         2
RHW    20240526              2         1         3         1         2         9        10        17        10         1
RHW    20240527              2         1         3         2         1        10         9        10         9         2
RHW    20240528              2         5         1         1         5         1        13        17        13         1
RHW    20240529              1         4         2         1         3         9        11        17        11         1
RHW    20240530              8        15         7         1         3         1         3        17         3         1
RHW    20240531              8         6         6         9         4        17         4        25         4         5
RHW    20240601              1         3         1         1         3         1         3         1         3         6
RHW    20240602              2         5         1         8         4         8         4         8         4         6
RHW    20240603              9         3         1         9         5        17         5        25         5         5
RHW    20240604              1         3         2         1         1         9         9         9         9         1
RHW    20240605              1         1         2         1         1         9         9         9         9         1
RHW    20240606              2         1         3         1         1         9         9         9         9         1
RHW    20240607              2         1         3         1         4         9        12         9        12         1
RHW    20240608              1         4         2         1         2         9        10         9        10         1
RHW    20240609              8         6         6         2         7        10         7        10         7         2
RHW    20240610              8        15         7         1         3         9         3        17         3         1
RHW    20240611              1         3         1         2         5         2         5        18         5         1
RHW    20240612              9         3         1         2         5         2         5         2        21         2
RHW    20240613              2         1         1         1         5         1        13         1        21         3
RHW    20240614              4         4         2         1         2         9        10         9        10         1
RHW    20240615              7         6         2         2         1        10         9        18         9         2
RHW    20240616              7         6         2         1         1         9         9        17         9         1
RHW    20240617              4         1         2         1         2         9        10         9        10         2
RHW    20240618              4         1         2         2         2        10        10        10        10         2
RHW    20240619              1         1         1         2         4        10        12        10        12         2
RHW    20240620              6         2         3         2         7        10        15        10        15         2
RHW    20240621              1         1         2         2         1        10         9        10         9         8
RHW    20240622              1         3         1         2         4         2         4         2        20         2
RHW    20240623              9        22         1         9         5        17        13        25        13         6
RHW    20240624              6         7         1         6         6         6         6         6         6         6
RHW    20240625              6        14         1         7         7         7         7         7         7         6
RHW    20240626              7         4         2         9         2        17         2        25        18         5
RHW    20240627              7         6         2         3         1         3         9         3         9         3
RHW    20240628              1         1         1         1         4         9        12         9        12         1
RHW    20240629              4         4         2         2         8        10        16        10        16         2
RHW    20240630              8         6         2         2         3         2         3         2        19         2
