,Log_NR,NORD_CHTOPO,OST_CHTOPO,LV_03_N,LV_03_E,HuM,Location,LCZ_mixed,LCZ,LU_3,LU_7
1,Log_401,46.74982,7.58521,1177635.984,2611199.79,NA,Referenz 3m,D,D,rural,low green
2,Log_402,46.74982,7.58521,1177635.984,2611199.79,NA,Referenz 2m,D,D,rural,low green
3,Log_403,46.75077,7.60025,1177744.305,2612349.203,NA,Burgerwald,B,B,rural,forest
4,Log_404,46.74515,7.60521,1177120,2612729,NA,Stockhorn Arena,8,8,urban,dense urban
5,Log_405,46.75718,7.60421,1178458,2612650,NA,Thunerallmend,D,D,rural,low green
6,Log_406,46.76261,7.60603,1179061,2612788,NA,KVA Parkplatz,8/E,8,urban,dense urban
7,Log_407,46.76181,7.60933,1178973,2613040,NA,KVA Grünfläche,D/E,D,urban,low green
8,Log_408,46.76604,7.60234,1179442,2612505,NA,Lerchenfeld,6,6,urban,green urban
9,Log_409,46.76011,7.62234,1178786,2614034,NA,Scheibenstrasse,5,5,urban,green urban
10,Log_410,46.76289,7.63818,1179098,2615244,NA,Lauenenweg,6,6,urban,green urban
11,Log_411,46.76149,7.63146,1178942,2614731,NA,Spital,05. Feb,2,urban,dense urban
12,Log_412,46.75875,7.62995,1178637,2614616,NA,Innenstadt,2,2,urban,dense urban
13,Log_413,46.75683,7.63252,1178424,2614813,NA,Aarequai,G,G,water,water
14,Log_414,46.75517,7.62994,1178239,2614616,NA,Busbahnhof,E/2,E,urban,dense urban
15,Log_415,46.75273,7.63179,1177968,2614758,NA,Gleisfeld,E,E,urban,dense urban
16,Log_416,46.7496,7.63395,1177620,2614924,NA,ESP Thun Bahnhof,E,E,urban,dense urban
17,Log_417,46.74835,7.64059,1177483,2615432,NA,Bächihölzli,A,A,rural,forest
18,Log_418,46.74619,7.63853,1177242,2615275,NA,Schadau,G/B,G,water,water
19,Log_419,46.75304,7.6207,1178000,2613911,NA,Progymatte,D/E,E,urban,green urban
20,Log_420,46.74678,7.62247,1177305,2614048,NA,Hohmad,6,6,urban,green urban
21,Log_421,46.73948,7.61728,1176492,2613653,NA,Neufeld,6,6,urban,green urban
22,Log_422,46.74004,7.63322,1176557,2614871,NA,Strandbad,D/E/G,G,water,water
23,Log_423,46.7316,7.61812,1175616,2613719,NA,Schoren,8,8,urban,dense urban
24,Log_424,46.7309,7.60847,1175537,2612982,NA,Buchholz,9,9,urban,rural
25,Log_425,46.71913,7.62173,1174231,2613998,NA,Gwatt,6,6,rural,green urban
26,Log_426,46.76323,7.6639,1179141,2617208,NA,Goldiwil,2,2,urban,rural
27,Log_427,46.76287,7.61278,1179091,2613303,NA,Uttigenstrasse,8,8,urban,dense urban
28,Log_428,46.7577,7.61767,1178518,2613678,NA,Expo,08. Feb,2,urban,dense urban
29,Log_429,46.7517,7.61156,1177850,2613213,NA,SchönauWestquartier,5,5,urban,green urban
30,Log_430,46.74637,7.6099,1177257,2613087,NA,Sportcluster,D,D,rural,low green
31,Log_431,46.74939,7.63001,1177596,2614623,NA,Seefeld,6,6,urban,green urban
32,Log_432,46.78555,7.63076,1181616,2614671,NA,Flühli,6,6,urban,green urban
33,Log_433,46.77786,7.63956,1180763,2615345,NA,Zelgmatt,6,6,urban,green urban
34,Log_434,46.77766,7.63401,1180739,2614921,NA,Unterdorfstrasse,5,5,urban,green urban
35,Log_435,46.77383,7.62668,1180312,2614362,NA,Sägeweg,6,6,urban,green urban
36,Log_436,46.77195,7.61591,1180102,2613540,NA,Burgergut,5,5,urban,green urban
37,Log_437,46.76882,7.6265,1179755,2614350,NA,Hodelmatte,D,D,rural,low green
38,Log_438,46.76616,7.6223,1179459,2614030,NA,Schwäbis,05. Jun,6,urban,green urban
