"","X","Log_NR","NORD_CHTOPO","OST_CHTOPO","LV_03_N","LV_03_E","HuM","Location","LCZ_mixed","LCZ","LU_3","LU_7","ID","AC","AC_1000","AC_150","AC_25","AC_250","AC_50","AC_500","AC_750","AD","AD_150","AD_25","AD_250","AD_50","AD_500","ASP","ASP_150","ASP_25","ASP_250","ASP_50","ASP_500","BH","BH_1000","BH_150","BH_25","BH_250","BH_50","BH_500","BH_750","BUL","BUL_1000","BUL_150","BUL_25","BUL_250","BUL_50","BUL_500","BUL_750","DEM","DEM_150","DEM_25","DEM_250","DEM_50","DEM_500","FLAC","FLAC_150","FLAC_25","FLAC_250","FLAC_50","FLAC_500","FO","FO_1000","FO_150","FO_25","FO_250","FO_50","FO_500","FO_750","GA","GA_1000","GA_150","GA_25","GA_250","GA_50","GA_500","GA_750","NDVI","NDVI_1000","NDVI_500","NDVI_750","ROU","ROU_150","ROU_25","ROU_250","ROU_50","ROU_500","SE","SE_1000","SE_150","SE_25","SE_250","SE_50","SE_500","SE_750","SLO","SLO_150","SLO_25","SLO_250","SLO_50","SLO_500","TPI","TPI_150","TPI_25","TPI_250","TPI_50","TPI_500","VH","VH_1000","VH_150","VH_25","VH_250","VH_50","VH_500","VH_750","WA","WA_1000","WA_150","WA_25","WA_250","WA_50","WA_500","WA_750"
"1",1,"Log_401",46.74982,7.58521,1177635.984,2611199.79,NA,"Referenz 3m","D","D","rural","low green",1,1,0.769103527069092,0.825586140155792,0.975511491298676,0.843725979328156,0.877345502376556,0.833712697029114,0.813264071941376,0.04925537109375,0.0247143357992172,0.0439670160412788,-0.0563081838190556,0.0610270835459232,-0.180170193314552,348.359558105469,180.996917724609,134.811416625977,182.458206176758,148.656127929688,181.60417175293,0,0.111249461770058,0.129171833395958,0,0.0966563671827316,0.00186871772166342,0.0432079695165157,0.0626052021980286,0,0.0152018908411264,0.0187974292784929,0,0.0159766115248203,0.000214795145438984,0.0085972910746932,0.0105413850396872,570.049255371094,570.024719238281,570.0439453125,569.943664550781,570.06103515625,569.81982421875,128,41.0335922241211,81.362922668457,40.1548614501953,59.9631271362305,41.6473236083984,0,0.0603078864514828,0,0,0.000428317784098908,0,0.0123571055009961,0.0294895209372044,0,0.0506100729107857,0.0180645603686571,0,0.0193870924413204,0.000323860935168341,0.0258107986301184,0.0371073335409164,0.691694796085358,0.714723467826843,0.699861347675323,0.707922101020813,0.118408203125,0.407263219356537,0.239947482943535,0.477895706892014,0.308583527803421,0.493155688047409,0,0.100767262279987,0.137551888823509,0.0244884882122278,0.12044982612133,0.12211586534977,0.117190197110176,0.105773873627186,0.445856034755707,1.61963427066803,1.01560008525848,1.87869799137115,1.29357612133026,1.94623804092407,0.0122833251953125,0.000365353800589219,-0.00290890643373132,0.000288535753497854,-0.000376666605006903,-1.90778496289568e-06,0.241613909602165,1.43500816822052,0.205635860562325,0.172473534941673,0.341379135847092,0.152261734008789,0.566808938980103,0.878369450569153,0,0.00400935718789697,0,0,3.21498519042507e-05,0,0.0023319199681282,0.00382380257360637
"2",2,"Log_402",46.74982,7.58521,1177635.984,2611199.79,NA,"Referenz 2m","D","D","rural","low green",2,1,0.769103527069092,0.825586140155792,0.975511491298676,0.843725979328156,0.877345502376556,0.833712697029114,0.813264071941376,0.04925537109375,0.0247143357992172,0.0439670160412788,-0.0563081838190556,0.0610270835459232,-0.180170193314552,348.359558105469,180.996917724609,134.811416625977,182.458206176758,148.656127929688,181.60417175293,0,0.111249461770058,0.129171833395958,0,0.0966563671827316,0.00186871772166342,0.0432079695165157,0.0626052021980286,0,0.0152018908411264,0.0187974292784929,0,0.0159766115248203,0.000214795145438984,0.0085972910746932,0.0105413850396872,570.049255371094,570.024719238281,570.0439453125,569.943664550781,570.06103515625,569.81982421875,128,41.0335922241211,81.362922668457,40.1548614501953,59.9631271362305,41.6473236083984,0,0.0603078864514828,0,0,0.000428317784098908,0,0.0123571055009961,0.0294895209372044,0,0.0506100729107857,0.0180645603686571,0,0.0193870924413204,0.000323860935168341,0.0258107986301184,0.0371073335409164,0.691694796085358,0.714723467826843,0.699861347675323,0.707922101020813,0.118408203125,0.407263219356537,0.239947482943535,0.477895706892014,0.308583527803421,0.493155688047409,0,0.100767262279987,0.137551888823509,0.0244884882122278,0.12044982612133,0.12211586534977,0.117190197110176,0.105773873627186,0.445856034755707,1.61963427066803,1.01560008525848,1.87869799137115,1.29357612133026,1.94623804092407,0.0122833251953125,0.000365353800589219,-0.00290890643373132,0.000288535753497854,-0.000376666605006903,-1.90778496289568e-06,0.241613909602165,1.43500816822052,0.205635860562325,0.172473534941673,0.341379135847092,0.152261734008789,0.566808938980103,0.878369450569153,0,0.00400935718789697,0,0,3.21498519042507e-05,0,0.0023319199681282,0.00382380257360637
"3",3,"Log_403",46.75077,7.60025,1177744.305,2612349.203,NA,"Burgerwald","B","B","rural","forest",3,0,0.591655969619751,0.107004143297672,0,0.265995979309082,0,0.483716011047363,0.569957137107849,-1.9005126953125,-1.87495636940002,-1.90797173976898,-1.93354320526123,-1.90127050876617,-1.93703007698059,353.470947265625,150.045135498047,224.430618286133,158.846237182617,170.740127563477,164.34619140625,0,0.225392609834671,9.76776937022805e-05,0,0.00255738641135395,0,0.00981898605823517,0.0794626399874687,0,0.0168265625834465,0.000147526574437506,0,0.00163129530847073,0,0.00250898883678019,0.00685185613110662,568.099487304688,568.125061035156,568.092041015625,568.066467285156,568.098754882812,568.06298828125,64,30.9615039825439,53.0932197570801,33.7361679077148,37.724536895752,39.7914657592773,1,0.0662902668118477,0.508343279361725,0.982287287712097,0.30685618519783,0.855077147483826,0.136892721056938,0.0861463621258736,0,0.189028412103653,0.305019706487656,0.00739321066066623,0.298970758914948,0.109885133802891,0.250138938426971,0.209352508187294,0.751457214355469,0.719449698925018,0.744892358779907,0.733761727809906,0.1376953125,0.502095222473145,0.130238428711891,0.589704930782318,0.214207485318184,0.490309923887253,0,0.132604971528053,0.0794853568077087,0.0103195272386074,0.126545771956444,0.035037700086832,0.126040950417519,0.12497328966856,0.738079190254211,2.08996915817261,0.538123488426208,2.50018000602722,0.855820655822754,2.07665467262268,0.006195068359375,0.00062358845025301,0.000261429348029196,3.99069358536508e-05,-0.000651074340566993,1.7060830941773e-05,20.1185913085938,1.84683847427368,10.1153526306152,19.0278034210205,6.17958498001099,16.7459049224854,3.08460021018982,2.20162200927734,0,0.00359384855255485,0,0,0,0,0.00070239492924884,0.00271883048117161
"4",4,"Log_404",46.74515,7.60521,1177120,2612729,NA,"Stockhorn Arena","8","8","urban","dense urban",4,0,0.456522226333618,0.00256271101534367,0,0.0784436017274857,0,0.372409373521805,0.457828015089035,-0.96795654296875,-1.06142222881317,-0.936520576477051,-1.17158031463623,-0.935579478740692,-1.28785443305969,62.8030815124512,165.621047973633,121.399536132812,168.032745361328,131.987075805664,156.006072998047,0,1.47308313846588,8.55468273162842,0.057038314640522,7.3030686378479,2.39246988296509,3.2828381061554,1.8988219499588,0,0.0912047028541565,0.382934272289276,0.00221589859575033,0.328685432672501,0.100944206118584,0.15183100104332,0.100518383085728,569.032043457031,568.938598632812,569.0634765625,568.828430175781,569.064392089844,568.712158203125,64,34.0220069885254,49.7939186096191,33.2567977905273,45.1700401306152,36.2637825012207,0,0.00598409911617637,0,0,0,0,0,0.00087286566849798,0,0.232643693685532,0.0180994514375925,0.00490351114422083,0.0286600887775421,0.0233240891247988,0.104625321924686,0.182499781250954,0.646519303321838,0.670082569122314,0.666228115558624,0.671751201152802,0.14910888671875,0.257140696048737,0.168325841426849,0.353451699018478,0.250496596097946,0.463941335678101,1,0.208311572670937,0.596279203891754,0.992880582809448,0.563129723072052,0.875731706619263,0.366786479949951,0.252289474010468,0.716130435466766,1.00741040706635,0.677119195461273,1.47613334655762,0.919409036636353,2.010014295578,-0.00730133056640625,0.000607438327278942,-0.0042866263538599,0.00030686441459693,0.00133055343758315,5.60167427465785e-05,0.537251472473145,0.955062925815582,0.0924227982759476,0.200328469276428,0.365398317575455,0.148795947432518,0.70099139213562,0.831575930118561,0,0.00533369230106473,0.000124348836834542,0,0.00108115468174219,0,0.00434782868251204,0.00599147006869316
"5",5,"Log_405",46.75718,7.60421,1178458,2612650,NA,"Thunerallmend","D","D","rural","low green",5,1,0.600417613983154,0.753767549991608,0.735360383987427,0.81943953037262,0.729525923728943,0.82647693157196,0.706011593341827,-6.046630859375,-6.03532552719116,-6.03232860565186,-6.14732599258423,-6.02368259429932,-6.4337215423584,3.07859683036804,110.469566345215,86.7464065551758,128.315612792969,105.586318969727,146.623275756836,0,0.954984784126282,0,0,0,0,0.180616796016693,0.578285098075867,0,0.0615158677101135,0,0,0,0,0.0118738738819957,0.0374828539788723,563.953369140625,563.964660644531,563.967651367188,563.852661132812,563.976318359375,563.566284179688,64,75.3529205322266,85.0989303588867,66.2067031860352,82.5139465332031,54.8047714233398,0,0.00539086759090424,0,0,0,0,0.00074526690877974,0.00192630686797202,0,0.139878943562508,0.246232464909554,0.264639616012573,0.180219694972038,0.270474046468735,0.106257431209087,0.116553045809269,0.781684696674347,0.652805209159851,0.727883338928223,0.68589460849762,0.17138671875,0.147443026304245,0.17485411465168,0.154876604676247,0.169862240552902,0.266198843717575,0,0.192215263843536,0,0,0.000340276077622548,0,0.0545207038521767,0.137864381074905,0.848061800003052,0.639776170253754,0.79406613111496,0.663385212421417,0.755622327327728,1.11107766628265,-0.00817108154296875,0.0005175945116207,-0.00126306677702814,0.000402650388423353,-0.000696791044902056,0.000145625395816751,0.0276056881994009,0.54992264509201,0.0538847930729389,0.0415933430194855,0.0572441965341568,0.0470373556017876,0.209380239248276,0.39541095495224,0,0.000581425207201391,0,0,4.7544776293762e-07,0,0.000125766804558225,0.000161827381816693
"6",6,"Log_406",46.76261,7.60603,1179061,2612788,NA,"KVA Parkplatz","8/E","8","urban","dense urban",6,0,0.160179600119591,0.00877644587308168,0,0.0213066898286343,0,0.0529534816741943,0.108595594763756,-10.3624267578125,-10.6519031524658,-10.3965911865234,-10.6102476119995,-10.434157371521,-10.4480266571045,23.5356025695801,172.390426635742,158.784805297852,172.562683105469,171.675430297852,169.333786010742,0,3.25251626968384,9.58696365356445,0.0213559046387672,9.44541454315186,0.764658212661743,5.85602283477783,4.12867736816406,0,0.191023096442223,0.275017231702805,0.0060384925454855,0.301756948232651,0.0534882955253124,0.251762390136719,0.216210797429085,559.637573242188,559.348083496094,559.603393554688,559.389770507812,559.565856933594,559.552001953125,64,30.7419319152832,36.2243957519531,29.2748832702637,40.2404937744141,33.7484741210938,0,0.0172484815120697,0,0,0.00159197440370917,0,0.007091726642102,0.0100994277745485,0,0.212806031107903,0.0692410320043564,0.0253206361085176,0.0746896117925644,0.0911365523934364,0.133483037352562,0.187949299812317,0.324364483356476,0.47510302066803,0.379094302654266,0.432889461517334,0.11492919921875,0.307456851005554,0.124906331300735,0.381677985191345,0.173576682806015,0.467103213071823,1,0.404956668615341,0.646965265274048,0.968640863895416,0.600654780864716,0.855375170707703,0.554219126701355,0.470044016838074,0.409846603870392,1.34604227542877,0.435854583978653,1.68671238422394,0.686781346797943,1.99043762683868,0.0281295776367188,0.000452443840913475,0.00205079093575478,-0.000394794420571998,0.00385754904709756,4.37380513176322e-05,0,0.99953955411911,0.0945872887969017,0.00304063619114459,0.329608380794525,0.00942277256399393,0.73412424325943,0.880472421646118,0,0.0137861119583249,0,0,0,0,0.000490226608235389,0.00710083870217204
"7",7,"Log_407",46.76181,7.60933,1178973,2613040,NA,"KVA Grünfläche","D/E","D","urban","low green",7,0,0.136456042528152,0.00502824177965522,0,0.0101973405107856,0,0.0423428565263748,0.0910263657569885,-9.9273681640625,-9.79427814483643,-9.87980270385742,-9.93015956878662,-9.80648422241211,-10.4444732666016,127.86107635498,162.922561645508,219.405899047852,152.092590332031,212.630599975586,151.120635986328,0,3.35096979141235,1.17792308330536,0,2.46000647544861,0.0403964892029762,3.8059766292572,3.68415427207947,0,0.204352408647537,0.0977343320846558,0,0.168281450867653,0.00800503510981798,0.21838940680027,0.217040941119194,560.072631835938,560.205749511719,560.120178222656,560.06982421875,560.193542480469,559.555541992188,1,41.2780151367188,31.9567584991455,40.5196990966797,37.2093276977539,38.9310646057129,0,0.00703092850744724,0,0,7.18571100151166e-05,0,0.00340565340593457,0.00535813346505165,1,0.169801995158195,0.285526007413864,0.606124520301819,0.210147306323051,0.510003209114075,0.148280441761017,0.150686949491501,0.332840174436569,0.447371929883957,0.376136749982834,0.413276672363281,0.09716796875,0.253860354423523,0.198071286082268,0.281871795654297,0.259763032197952,0.458756148815155,0,0.457555741071701,0.611711382865906,0.393875479698181,0.611296117305756,0.481991738080978,0.577440023422241,0.514499485492706,0.379044711589813,1.07032144069672,0.796971559524536,1.1917644739151,1.09664511680603,1.92877209186554,-0.0216140747070312,0.000513977138325572,-0.0117911538109183,0.000566632254049182,-0.00291151576675475,0.00034977647010237,0.125298991799355,0.954048335552216,1.64591443538666,2.83346819877625,1.05681240558624,3.00662589073181,0.83921229839325,0.920313000679016,0,0.0248028840869665,0,0,5.89891578783863e-06,0,0.0101415943354368,0.0213881507515907
"8",8,"Log_408",46.76604,7.60234,1179442,2612505,NA,"Lerchenfeld","6","6","urban","green urban",8,0,0.0957653298974037,0,0,6.36225813650526e-05,0,0.0084153488278389,0.0377442501485348,-12.7890014648438,-12.6963109970093,-12.7430782318115,-12.5819959640503,-12.7387647628784,-12.3755874633789,323.692047119141,150.248153686523,206.240295410156,152.627029418945,164.548950195312,158.944076538086,0,2.25701022148132,2.24827218055725,0.539622187614441,1.96708369255066,1.94848144054413,2.46392607688904,2.52618050575256,0,0.162224680185318,0.202900841832161,0.0473177544772625,0.183763846755028,0.1600301861763,0.192016899585724,0.183984324336052,557.210998535156,557.3037109375,557.256896972656,557.418029785156,557.26123046875,557.624389648438,16,38.9012603759766,31.5822448730469,39.9996719360352,31.5277137756348,40.1106910705566,0,0.126151829957962,0.0440473891794682,0,0.0624856986105442,1.01125215223874e-05,0.0521389991044998,0.0961351543664932,0,0.349462777376175,0.639909327030182,0.492115408182144,0.634114861488342,0.579155266284943,0.54690158367157,0.433482885360718,0.49847275018692,0.54290360212326,0.504623532295227,0.522933423519135,0.1856689453125,0.451747268438339,0.236837238073349,0.414171934127808,0.374086171388626,0.396878480911255,1,0.251298427581787,0.112181089818478,0.460566848516464,0.118270963430405,0.260804444551468,0.198285490274429,0.239654943346977,0.547316551208496,1.70000827312469,0.844158709049225,1.56521987915039,1.3732727766037,1.5231751203537,-0.02252197265625,-0.000495534157380462,-0.00275684706866741,-0.000397262716433033,-0.000346234242897481,-5.08022167196032e-05,0.102604202926159,2.33398604393005,1.14820265769958,0.217041820287704,1.51769030094147,0.281093597412109,1.40270793437958,1.96764636039734,0,0.0150969512760639,0.000961343001108617,0,0.00130099488887936,0,0.0022416680585593,0.0089984517544508
"9",9,"Log_409",46.76011,7.62234,1178786,2614034,NA,"Scheibenstrasse","5","5","urban","green urban",9,0,0.0291390419006348,0.0118203544989228,0,0.00906470883637667,0,0.0104700075462461,0.0170746631920338,-11.584716796875,-11.6957530975342,-11.5518083572388,-11.8405389785767,-11.5501356124878,-11.9367151260376,132.371963500977,146.266235351562,138.435440063477,153.565856933594,140.633544921875,166.064483642578,0,4.30844116210938,4.68199586868286,1.40936732292175,4.90692520141602,4.30316781997681,4.561203956604,4.48222827911377,0,0.242001429200172,0.251359879970551,0.088711217045784,0.247942015528679,0.267963856458664,0.234998747706413,0.24205806851387,558.415283203125,558.304260253906,558.448181152344,558.159484863281,558.449890136719,558.063293457031,1,36.0992584228516,11.3992156982422,36.5884552001953,23.9614353179932,33.5927429199219,0,0.00065988878486678,0,0,3.64526349585503e-05,0,0.00058319914387539,0.000582799024414271,0,0.267979145050049,0.278620421886444,0.300582975149155,0.22261056303978,0.332591593265533,0.198106065392494,0.235375568270683,0.367379188537598,0.414662837982178,0.377767473459244,0.393727570772171,0.38470458984375,0.705479502677917,0.256265878677368,0.637710332870483,0.331915318965912,0.55932205915451,1,0.385038316249847,0.457438200712204,0.6107057929039,0.481202900409698,0.399444550275803,0.447712063789368,0.410768628120422,1.70368421077728,2.94331097602844,1.04870867729187,2.64801645278931,1.34007394313812,2.3351743221283,-0.00826263427734375,0.000761716335546225,-0.00531592546030879,0.00053469673730433,0.00206402782350779,-0.00022323960729409,0.0684033185243607,1.06405973434448,0.365830779075623,0.0790920406579971,0.448128938674927,0.217480152845383,1.00115323066711,1.08898758888245,0,0.075182169675827,0.000761113245971501,0,0.0391433387994766,0,0.108129903674126,0.0941402688622475
"10",10,"Log_410",46.76289,7.63818,1179098,2615244,NA,"Lauenenweg","6","6","urban","green urban",10,0,0.14797830581665,0.169301271438599,0.00199219025671482,0.183195725083351,0.0676437616348267,0.189499348402023,0.16429828107357,80.7564086914062,84.0921630859375,81.0022659301758,88.7482986450195,80.8546295166016,101.48021697998,174.373550415039,232.656387329102,183.377655029297,240.074371337891,202.004348754883,243.016708374023,0,1.16015601158142,1.09652650356293,1.38698530197144,0.890316963195801,1.84107077121735,0.879580914974213,1.02682483196259,0,0.0947019010782242,0.124306157231331,0.203906133770943,0.101920507848263,0.198516368865967,0.0929637551307678,0.0944008231163025,650.756408691406,654.092163085938,651.002258300781,658.748291015625,650.854614257812,671.480224609375,4,12.7680311203003,4.17278480529785,13.6780881881714,6.76589107513428,15.0243053436279,0,0.390235483646393,0.114892825484276,0,0.200373485684395,0.00237815408036113,0.295451760292053,0.351731836795807,1,0.269821166992188,0.481385886669159,0.596861839294434,0.419751465320587,0.591939747333527,0.33465576171875,0.299963802099228,0.660273313522339,0.698979735374451,0.688902795314789,0.697618842124939,3.76287841796875,4.31925678253174,4.2325553894043,4.83786535263062,3.90615510940552,5.45991182327271,0,0.0916736498475075,0.0956137180328369,0.19670732319355,0.0864793881773949,0.130926057696342,0.0833578631281853,0.0863533765077591,18.1739673614502,17.4932289123535,18.602165222168,19.4433975219727,16.5752716064453,21.6196975708008,-0.366584777832031,-0.0241698697209358,0.0443445220589638,-0.0171148646622896,-0.0102172372862697,-0.00746027892455459,0.117683470249176,7.99138498306274,4.25799179077148,0.379678726196289,5.39086294174194,1.21179819107056,6.97526836395264,7.66384696960449,0,0.0055894972756505,0.0145001458004117,0.000532510632183403,0.00827942881733179,0.00859593693166971,0.00407150480896235,0.00325188622809947
