Log_NR,T_mean,T_mean_day,T_mean_night,H_mean,UHI_mean,UHI_day,UHI_night,HI_mean,T_min,T_min_night,H_min,UHI_min,HI_min,T_max,T_max_day,H_max,UHI_max,HI_max,Tropical_night,Gfroerli_night,Summer_day,Hot_day,Very_hot_day
Log_401,18.492848066357332,20.142167920007342,15.105735273665578,70.78902894475992,0,0,0,18.30114874810589,1.3675898374914155,1.7040512703135704,31.24917982757305,0,1.37,35.21667811093309,35.21667811093309,86.62226291294728,0,36.49,0,18,32,18,1
Log_402,18.686892081228187,20.46664019201028,15.042342922834795,71.58433454100673,0.19404401487085637,0.3244722720029383,-0.0633923508307829,18.556697932678233,1.0151064316777294,1.3756008239871846,27.77584496833753,-2.945372701609827,1.02,37.49713893339437,37.49713893339437,87.73426413366903,5.329976348516055,39.35,0,18,29,24,1
Log_403,19.928261231378634,20.16624433633303,17.699530544806226,71.74841914013751,-0.342895920842658,-0.7801609429995499,1.034555493011309,19.908523249463002,10.21705958648051,10.21705958648051,37.43862058442054,-4.942778667887385,9.42,31.515602349889377,31.515602349889377,85.58655680170901,3.5194934004730243,31.83,0,0,21,2,0
Log_404,18.52475177692373,19.735735186304616,15.653561980021829,66.86121605543575,0.6277522509487201,0.3780465095585164,1.154967050940335,18.217448634880384,2.852292668039979,3.0899519340810286,37.116273746852826,-4.827954528114745,2.85,32.87479972533761,32.87479972533761,83.00587472343022,4.606317235065234,34.92,0,16,21,14,0
Log_405,18.570266912493704,20.00744648734275,15.619724906094564,71.67197834200243,0.07741884613637388,-0.13472143266458994,0.5139896324289863,18.407747721783046,1.6880292973220392,1.979095140001526,29.889219501029984,-4.69710841535057,1.69,35.27809567406729,35.27809567406729,88.43427176317998,4.5582513160906295,36.48,0,18,35,14,1
Log_406,19.638328338558868,20.97208387110789,16.89659309807546,65.05044993460241,1.1454802722015365,0.8299159511005476,1.7908578244098825,19.386702925714978,3.162050812542915,3.22613870450904,28.07339589532311,-4.33928435187304,3.11,36.1326009002823,36.1326009002823,83.60479133287556,5.639734493018999,37.47,2,14,29,24,1
Log_407,19.207851136581656,20.534946883330957,16.477899511365187,66.58310240631609,0.7150030702243249,0.39277896332361384,1.372164237699609,18.959209724378884,2.793545433737698,3.033875028610666,29.368505378805217,-4.787899595635912,2.79,35.985732814526585,35.985732814526585,83.90997177080949,4.921416037232007,37.78,1,16,28,22,1
Log_408,19.32586071904819,20.755115836743116,16.392799983330733,67.20111272788704,0.8330126526908573,0.6129479167357748,1.287064709665155,19.10795238642217,3.0872816052491032,3.2448310063324968,28.78294041351949,-4.699778744182495,3.05,35.62256809338521,35.62256809338521,85.29091325246051,4.483482108796839,37.15,1,15,28,24,1
Log_409,19.11460056230758,20.353305962462805,16.569876700094845,74.47608720967189,0.6217524959502481,0.21113804245546422,1.4641414264292674,19.083404774407136,3.7335011825741944,3.840314335851069,27.08537422751202,-5.006866559853512,3.32,35.360875867856876,35.360875867856876,96.58831158922712,5.343327992675679,35.95,2,12,30,19,1
Log_410,18.378721470301887,19.602121280475195,15.870719218776774,70.84218716982713,-0.11412659605544474,-0.540046639532145,0.7649839451111964,18.162399806275694,4.286259250782024,4.286259250782024,32.45273517967498,-6.998931868467238,3.07,34.6692607003891,34.6692607003891,85.15739681086443,5.167086289768825,37.19,0,13,28,25,0
Log_411,19.507073357796,20.809069233872705,16.83533720723955,66.21150510398094,1.0142252914386662,0.6669013138653647,1.7296019335739743,19.284091312036786,4.232852674143587,4.454489967193105,27.98756389715419,-5.647745479514761,3.05,36.23941405355917,36.23941405355917,84.47837033646144,6.192492561226828,37.56,2,12,30,24,1
Log_412,19.990811743896288,20.983283095353407,17.94495055320726,63.62340570848266,1.4979636775389558,0.8411151753460646,2.8392152795416834,19.73778476894985,5.944533455405505,6.16083009079118,32.63965819790951,-4.851987487602042,4.52,34.161898222323956,34.161898222323956,82.43175402456703,6.304646372167539,35.08,6,8,34,18,0
Log_413,19.093005687859474,20.13053232407481,16.96236572012361,66.82565231638206,0.6001576215021419,-0.011635595932530824,1.856630446458034,18.82352675289555,4.945830472266728,5.02059967956054,35.1764705882353,-5.404745555809882,3.54,34.15922789349203,34.15922789349203,83.92713817044327,7.12176699473563,34.8,3,9,31,16,0
Log_414,19.73066410260805,20.886312244439026,17.35322253349724,66.27333053690413,1.2378160362507167,0.7441443244316844,2.247487259831662,19.537553025074764,4.649423971923397,4.721522850385291,34.55848020141909,-5.38872358281834,3.19,35.4623483634699,35.4623483634699,85.94514381628137,7.014953841458762,37.03,3,10,30,24,1
Log_416,19.67226222586116,20.906297960874983,17.139585429084104,67.28365742179646,1.17941415950383,0.7641300408676412,2.033850155418526,19.490175070450885,3.8429846646829944,3.848325322346838,32.16281376363775,-4.950789654383154,3.1,34.43961242084383,34.43961242084383,87.15251392385748,7.359426260776679,36.54,5,11,27,27,0
Log_417,16.774143150626575,17.86589835537992,15.152901757330689,71.13255871119745,-0.2275063867949921,-0.940993961044454,1.2591628096454357,16.39025371335223,4.259555962462805,4.470511940184636,40.53620202944991,-6.5022507057297645,3.03,31.862745098039213,31.862745098039213,84.29716945143817,6.133745326924547,33.6,0,11,16,3,0
Log_418,18.862237297748806,19.790042393716213,16.95311773010419,70.5628780509084,0.3693892313914745,-0.35212552629112864,1.8473824564386125,18.675287793899592,4.895094224460209,5.14877546349279,36.26939803158618,-8.857480735484856,3.59,31.528953994048976,31.528953994048976,87.86015106431678,7.017624170290688,33.52,4,11,33,4,0
