Log_NR,T_mean,T_mean_day,T_mean_night,H_mean,UHI_mean,UHI_day,UHI_night,HI_mean,T_min,T_min_night,H_min,UHI_min,HI_min,T_max,T_max_day,H_max,UHI_max,HI_max,Tropical_night,Gfroerli_night,Summer_day,Hot_day,Very_hot_day
Log_401,16.646215545074316,18.161329224410927,13.58892614829507,72.13935685407998,0,0,0,16.289391832712067,1.260776684214541,1.3515678644998843,31.24917982757305,0,1.26,35.21667811093309,35.21667811093309,87.54161898222324,0,36.49,0,51,42,21,1
Log_402,16.77706773802017,18.413348059675165,13.479230934491452,73.09840518516187,0.13085219294585101,0.2520188352642366,-0.10969521380361605,16.471979156171464,0.9163042648966168,0.9403372243839172,27.77584496833753,-2.945372701609827,0.92,37.49713893339437,37.49713893339437,88.52582589456016,5.329976348516055,39.35,0,53,39,28,1
Log_403,18.585952050334786,19.14379874968073,16.441519421415823,71.77883918549593,-0.405467779832734,-0.8684437739211093,0.9330455994748138,18.416451064813078,8.032730601968417,8.032730601968417,37.43862058442054,-4.942778667887385,7.07,31.515602349889377,31.515602349889377,85.58655680170901,3.5355153734645626,31.83,0,5,21,2,0
Log_404,16.69176987621197,17.858789112427672,14.151877967995357,68.32092726916648,0.5582033233533031,0.3235216214085847,1.0544189415201013,16.22684719801642,2.483787289234762,2.483787289234762,36.39528496223392,-4.827954528114745,2.48,32.87479972533761,32.87479972533761,85.25276569771877,5.225833524071113,34.92,0,43,32,18,0
Log_405,16.72005979192839,18.039137848159644,14.001141937910377,73.11692269452861,0.07384424685407154,-0.0999541916619677,0.43035325298768723,16.394339148031456,1.6880292973220392,1.9390402075226945,29.889219501029984,-5.257877470054167,1.69,35.27809567406729,35.27809567406729,90.65827420462348,4.5582513160906295,36.48,0,51,46,15,1
Log_406,17.651652882974087,18.907676887577217,15.150706066850914,66.78998341325081,1.0157748747848112,0.7480210124520482,1.578579361912576,17.2370405911318,2.740138857099261,3.180743114366372,28.07339589532311,-4.33928435187304,2.74,36.1326009002823,36.1326009002823,86.03288319218738,5.639734493018999,37.47,2,38,39,28,1
Log_407,17.323110916396985,18.535545013062134,14.831543150167414,68.23976007477161,0.6384513091945304,0.36395474599718675,1.1793737125310975,16.91924318439631,2.537193865873199,2.8042267490653856,29.368505378805217,-4.787899595635912,2.54,35.985732814526585,35.985732814526585,85.82116426337072,4.921416037232007,37.78,1,41,39,26,1
Log_408,17.38387449961787,18.685870057883896,14.707259463877152,68.8291807834244,0.7484549550859229,0.5539345363036812,1.1453373828014408,17.002397778463603,2.726787212939648,2.726787212939648,28.78294041351949,-4.699778744182495,2.73,35.62256809338521,35.62256809338521,86.93698023956664,4.483482108796839,37.15,1,42,39,28,1
Log_409,17.667647475274375,18.791738078594992,15.358072179779018,76.89606329381152,0.5471158273563992,0.17552531520693337,1.293966194273696,17.541621208667504,3.202105745021747,3.5011825741969957,27.08537422751202,-5.006866559853512,3.2,35.360875867856876,35.360875867856876,99.04310673685816,5.343327992675679,35.95,2,28,35,23,1
Log_410,16.51817655853816,17.63308445759811,14.235277157675466,72.06468071444432,-0.1231570125185887,-0.5005983943401245,0.6633341297863357,16.130443176010193,4.152742809185931,4.286259250782024,32.45273517967498,-6.998931868467238,3.07,34.6692607003891,34.6692607003891,85.88601510643167,5.837338826581213,37.19,0,44,38,29,0
Log_411,17.256372759258127,18.451577716796724,14.851276821153247,68.01774153416208,0.8781586560365193,0.563714475011731,1.5075134288501906,16.838855643897364,3.957808804455631,3.957808804455631,27.98756389715419,-5.647745479514761,3.05,36.23941405355917,36.23941405355917,85.91081101701381,7.065690089265281,37.56,2,44,43,28,1
Log_412,18.543975670866374,19.5007179245694,16.60994899811348,63.94635250556964,1.3705499409840782,0.728190984339188,2.658443747602189,18.143322494361904,5.944533455405505,6.16083009079118,32.63965819790951,-4.851987487602042,4.52,34.161898222323956,34.161898222323956,82.43175402456703,7.25528343633173,35.08,6,17,46,21,0
Log_413,17.122232908233823,18.06359421393286,15.182224221326965,68.37307796847963,0.49663387384826424,-0.05851580307646319,1.613815129221973,16.686890195749033,4.566643778133823,5.02059967956054,35.1764705882353,-5.404745555809882,3.18,34.15922789349203,34.15922789349203,85.17074845502404,7.12176699473563,34.8,3,30,40,17,0
Log_414,18.187591772526236,19.214963581525357,16.003318949937718,67.80006972490023,1.121887073730581,0.6815023528075517,2.0219261956991508,17.863794837169024,4.262226291294731,4.318303196765086,34.55848020141909,-5.38872358281834,3.05,35.4623483634699,35.4623483634699,86.40672922865645,7.014953841458762,37.03,3,26,38,28,1
Log_416,17.754740904087654,18.78462465587548,15.499822011082678,69.23455010090859,1.0035693472475864,0.6347473305282557,1.7877932204029734,17.41799234081197,3.8429846646829944,3.848325322346838,32.16281376363775,-4.950789654383154,3.1,34.43961242084383,34.43961242084383,89.12855725947966,7.359426260776679,36.54,5,29,37,31,0
Log_417,15.14270449380863,16.061849230357968,13.721963418056815,73.00713877204606,-0.19463043981180048,-0.8495503521812856,1.1272107980625863,14.634154898673978,4.259555962462805,4.459830624856949,37.43289845120928,-6.5022507057297645,3.03,31.862745098039213,31.862745098039213,84.95712214847028,6.745250629434665,33.6,0,28,19,3,0
Log_418,16.914281473113473,17.732331454375277,15.188792860545144,72.25992776001154,0.2762981798773596,-0.3826214431612653,1.6011252067522095,16.56473916072797,4.831006332494084,4.831006332494084,34.772106507972836,-8.857480735484856,3.56,31.528953994048976,31.528953994048976,89.6530861371786,7.017624170290688,33.52,4,31,40,4,0
Log_420,17.613016223220765,18.871514955707624,15.125309005239082,68.169791209753555,0.8161358769847807,0.565580929563755,1.3476442283231755,17.241855455312482,2.84428168154421,2.9938200961318344,33.18135347524224,-5.415426871137559,2.84,36.0845349813077,36.0845349813077,85.23750667582208,6.064316777294572,38.15,2,34,38,29,1
