Stationsnummer: 2030
Stationsname: Thun
DBLH-Nr: 00111
Gewässer: Aare
Exportperiode: 2024-05-01 - 2024-09-30
Parameter: Pegel
Parametereinheit: m ü.M.
Zeitreihe: 10-Min-Mittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 00:00:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 00:10:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 00:20:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 00:30:00;;548.925;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 00:40:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 00:50:00;;548.925;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 01:00:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 01:10:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 01:20:00;;548.923;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 01:30:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 01:40:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 01:50:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 02:00:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 02:10:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 02:20:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 02:30:00;;548.923;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 02:40:00;;548.923;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 02:50:00;;548.923;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 03:00:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 03:10:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 03:20:00;;548.923;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 03:30:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 03:40:00;;548.923;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 03:50:00;;548.922;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 04:00:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 04:10:00;;548.922;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 04:20:00;;548.923;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 04:30:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 04:40:00;;548.923;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 04:50:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 05:00:00;;548.924;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 05:10:00;;548.919;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-01 05:20:00;;548.919;Freigegeben, geprüfte Daten
