"Log_NR","UHI_mean","UHI_max","UHI_min","AT_mean","AT_max","AT_min","AT_LCD_mean","AT_LCD_max","AT_LCD_min","NORD_CHTOPO","OST_CHTOPO","LV_03_N","LV_03_E","LU_7","Location"
"401",0,0,0,20.6204483695652,26.625,11.58125,21.4399765762266,27.9804152043437,11.9489069136085,46.74982,7.58521,1177635.984,2611199.79,"low green","Referenz 3m"
"402",0.294986998099349,0.739080262455175,-0.16505970092317,20.6204483695652,26.625,11.58125,21.7349635743259,28.6021901464866,11.7838472126853,46.74982,7.58521,1177635.984,2611199.79,"low green","Referenz 2m"
"403",-1.10448328563972,0.13011548112544,-2.15009870679789,20.9375,26.625,11.58125,20.6071215564903,26.0561706848758,11.2347608466214,46.75077,7.60025,1177744.305,2612349.203,"forest","Burgerwald"
"404",0.38662347868607,0.959204369166603,-0.16236540760173,20.0662828947368,26.00625,11.58125,21.2577531697896,27.6825025643634,12.1033965629053,46.74515,7.60521,1177120,2612729,"dense urban","Stockhorn Arena"
"405",-0.17665950328843,0.146734569314109,-0.596025740062561,20.6204483695652,26.625,11.58125,21.2633170729381,27.9558871213855,11.8138188722311,46.75718,7.60421,1178458,2612650,"low green","Thunerallmend"
"406",0.801318710691433,1.45555730398515,0.140840374736147,20.6204483695652,26.625,11.58125,22.241295286918,29.3302719920653,12.2632546857913,46.76261,7.60603,1179061,2612788,"dense urban","KVA Parkplatz"
"407",0.359877077452252,0.862193547976908,-0.136259091833882,20.6204483695652,26.625,11.58125,21.7998536536788,28.7036765500623,11.9698050183108,46.76181,7.60933,1178973,2613040,"low green","KVA Grünfläche"
"408",0.577670121508255,1.12553803947,-0.0940456435492507,20.6204483695652,26.625,11.58125,22.0176466977348,29.0764794893314,12.1261138291244,46.76604,7.60234,1179442,2612505,"green urban","Lerchenfeld"
"409",0.150263437190866,0.863150415808345,-0.531311989776455,21.2401107594937,26.625,14.25625,22.2902237028038,28.4665263154548,14.5161221103227,46.76011,7.62234,1178786,2614034,"green urban","Scheibenstrasse"
"410",-0.706573267700189,0.695353627832457,-2.79452693853157,20.6204483695652,26.625,11.58125,20.7334033085264,26.8086749128964,11.134428803947,46.76289,7.63818,1179098,2615244,"green urban","Lauenenweg"
"411",0.530696463085883,1.46611622924137,-0.205114633401998,20.6204483695652,26.625,11.58125,21.9706730393124,28.8548143803566,11.8862376338343,46.76149,7.63146,1178942,2614731,"dense urban","Spital"
"412",0.626855183715952,1.37426248060833,-0.319146019302661,20.6204483695652,26.625,11.58125,22.0668317599425,28.2040858415351,12.5167300869764,46.75875,7.62995,1178637,2614616,"dense urban","Innenstadt"
"413",-0.368791139926337,0.569099924340684,-1.78116496274255,20.6204483695652,26.625,11.58125,21.0711854363002,26.9404945830472,11.8584995930927,46.75683,7.63252,1178424,2614813,"water","Aarequai"
"414",0.613078350181106,1.52683839424226,-0.690419082678467,20.8482954545455,26.625,11.58125,22.291613446443,28.1450354136467,12.2213249599451,46.75517,7.62994,1178239,2614616,"dense urban","Busbahnhof"
"416",0.561878149937582,1.83075519442537,-1.01842447419954,20.6204483695652,26.625,11.58125,22.0018547261641,28.3514573955393,11.9197836397854,46.7496,7.63395,1177620,2614924,"dense urban","ESP Thun Bahnhof"
"417",-1.21710114156183,0.178897481870131,-2.96940566109712,20.7634868421053,26.625,11.58125,20.3185815033456,26.8302693429296,11.0483941468935,46.74835,7.64059,1177483,2615432,"forest","Bächihölzli"
"418",-0.750702339156917,0.412551896569262,-2.73651404465807,20.6204483695652,26.625,11.58125,20.6892742370696,26.6059747018133,11.6630426489662,46.74619,7.63853,1177242,2615275,"water","Schadau"
"420",0.593876665789847,1.45952385493757,-0.778904322753743,20.6204483695652,26.625,11.58125,22.0338532420164,28.4419147847206,12.0849267884845,46.74678,7.62247,1177305,2614048,"green urban","Hohmad"
"421",0.431345298915117,1.2316502314285,-0.534983691920349,20.6204483695652,26.625,11.58125,21.8713218751417,28.7314229355815,11.7909625263854,46.73948,7.61728,1176492,2613653,"green urban","Neufeld"
"422",-0.651052626745942,0.756573697896798,-3.14180320312301,20.6204483695652,26.625,11.58125,20.7889239494806,26.6081777230996,11.9825641832609,46.74004,7.63322,1176557,2614871,"water","Strandbad"
"423",0.360782775211111,1.28904004857456,-0.618487099768569,20.6204483695652,26.625,11.58125,21.8007593514377,28.5047787759721,11.6965218966964,46.7316,7.61812,1175616,2613719,"dense urban","Schoren"
"424",-0.138979422815058,0.37578480646474,-0.594365129320213,20.6204483695652,26.625,11.58125,21.3009971534115,28.0023480614684,11.5146224345769,46.7309,7.60847,1175537,2612982,"rural","Buchholz"
"425",-0.0118656604143377,0.630781738765545,-0.784993228809036,20.6204483695652,26.625,11.58125,21.4281109158122,27.8736632461026,11.3884716500089,46.71913,7.62173,1174231,2613998,"green urban","Gwatt"
"426",-1.72051677284327,0.414813331298799,-3.37103980697337,20.7199573863636,26.625,11.58125,19.8923178351803,27.4557094968338,9.11501209595382,46.76323,7.6639,1179141,2617208,"rural","Goldiwil"
"427",0.936230958876107,1.76747396429389,0.128631965107704,20.6204483695652,26.625,11.58125,22.3762075351027,29.7362398591084,12.2637581540398,46.76287,7.61278,1179091,2613303,"dense urban","Uttigenstrasse"
"428",0.775618622724001,1.95687259988301,-0.0335571323211497,20.6204483695652,26.625,11.58125,22.2155951989506,29.3568640166832,12.1214880407416,46.7577,7.61767,1178518,2613678,"dense urban","Expo"
"429",0.592462325661528,1.26454693420818,-0.209498423234404,20.6204483695652,26.625,11.58125,22.0324389018881,28.8255520269067,12.1133574457669,46.7517,7.61156,1177850,2613213,"green urban","Schönau/Westquartier"
"430",-0.0310455576999734,0.509096602324455,-0.559934576943615,20.6204483695652,26.625,11.58125,21.4089310185266,28.3105958012258,11.7639866419979,46.74637,7.6099,1177257,2613087,"low green","Sportcluster"
"431",0.687803565705527,1.61412476793571,-0.700004450548054,20.6204483695652,26.625,11.58125,22.1277801419321,28.6220590619516,12.0221017395285,46.74939,7.63001,1177596,2614623,"green urban","Seefeld"
"432",0.119589347097406,1.51321458195171,-0.971181111874063,20.6204483695652,26.625,11.58125,21.559565923324,28.3715683095547,11.7340606800437,46.78555,7.63076,1181616,2614671,"green urban","Flühli"
"433",0.549644883065305,1.41494605299967,-0.415375212990511,20.6204483695652,26.625,11.58125,21.9896214592919,28.7500206632588,11.7687431652298,46.77786,7.63956,1180763,2615345,"green urban","Zelgmatt"
"434",-0.0279692329002346,1.07939857200987,-0.889976094199032,20.6204483695652,26.625,11.58125,21.4120073433263,28.0632732827242,11.7750601618728,46.77766,7.63401,1180739,2614921,"green urban","Unterdorfstrasse"
"435",0.265437994052299,1.13993834401465,-0.560991582106254,20.6204483695652,26.625,11.58125,21.7054145702789,29.1203535483584,11.3963213041377,46.77383,7.62668,1180312,2614362,"green urban","Sägeweg"
