"Log_NR","UHI_mean","UHI_max","UHI_min","AT_mean","AT_max","AT_min","AT_LCD_mean","AT_LCD_max","AT_LCD_min","NORD_CHTOPO","OST_CHTOPO","LV_03_N","LV_03_E","LU_7","Location"
"401",0,0,0,16.4333333333333,21.1875,12.3625,16.7641563071009,21.5224418885583,12.789570935378,46.74982,7.58521,1177635.984,2611199.79,"low green","Referenz 3m"
"402",-0.00623978637754723,0.20675656773734,-0.226599654128837,16.4333333333333,21.1875,12.3625,16.7579165207234,21.6542448691539,12.6299798453752,46.74982,7.58521,1177635.984,2611199.79,"low green","Referenz 2m"
"403",1.00849972795784,2.29302805752651,-0.19302026906742,16.4333333333333,21.1875,12.3625,17.7726560350588,22.1369068055238,14.4146496147097,46.75077,7.60025,1177744.305,2612349.203,"forest","Burgerwald"
"404",1.33289367728396,2.74850827166146,-0.111341585921009,16.33,21.1875,12.3625,17.920946016606,22.9684472037842,14.2572170405127,46.74515,7.60521,1177120,2612729,"dense urban","Stockhorn Arena"
"405",0.629722204882424,1.81530066631062,-0.142028114747845,16.4333333333333,21.1875,12.3625,17.3938785119833,22.0090091808448,13.3512467892475,46.75718,7.60421,1178458,2612650,"low green","Thunerallmend"
"406",2.01337105509971,3.54502285674322,0.32068423997355,16.4333333333333,21.1875,12.3625,18.7775273622006,23.7416631698075,14.9658499910989,46.76261,7.60603,1179061,2612788,"dense urban","KVA Parkplatz"
"407",1.56588436724767,2.98340263472445,0.137488555733578,16.4333333333333,21.1875,12.3625,18.3300406743486,23.2742777396302,14.4936023371735,46.76181,7.60933,1178973,2613040,"low green","KVA Grünfläche"
"408",1.49715083042217,2.99836760255334,0.0579350092825717,16.4333333333333,21.1875,12.3625,18.2613071375231,23.1272093792121,14.5383748505887,46.76604,7.60234,1179442,2612505,"green urban","Lerchenfeld"
"409",1.73359563630507,3.81704591694006,-0.0491563032476297,16.4333333333333,21.1875,12.3625,18.497751943406,23.4710142163221,14.6898603799496,46.76011,7.62234,1178786,2614034,"green urban","Scheibenstrasse"
"410",1.02028163877271,3.34838651738257,-0.619115739681085,16.4333333333333,21.1875,12.3625,17.7844379458736,22.5006278451718,14.3929531929503,46.76289,7.63818,1179098,2615244,"green urban","Lauenenweg"
"411",1.99850078183221,3.94817018895755,0.104610131990539,16.4333333333333,21.1875,12.3625,18.7626570889331,23.9431617329163,15.0176988759187,46.76149,7.63146,1178942,2614731,"dense urban","Spital"
"412",3.20848421365559,5.29176283029424,0.887528292769767,16.4333333333333,21.1875,12.3625,19.9726405207565,24.738585933725,15.8179741741054,46.75875,7.62995,1178637,2614616,"dense urban","Innenstadt"
"413",2.18015442823751,4.52672474631876,0.319872014953841,16.4333333333333,21.1875,12.3625,18.9443107353384,23.5400533429974,15.0832331960021,46.75683,7.63252,1178424,2614813,"water","Aarequai"
"414",2.58331387422713,4.9480247514051,0.388332570382239,16.4333333333333,21.1875,12.3625,19.347470181328,24.3420977340352,15.3187784517179,46.75517,7.62994,1178239,2614616,"dense urban","Busbahnhof"
"416",2.40191377419576,5.31007683553318,0.272284529894966,16.4333333333333,21.1875,12.3625,19.1660700812967,23.8710739808245,15.1215079092597,46.7496,7.63395,1177620,2614924,"dense urban","ESP Thun Bahnhof"
"417",1.52629702679548,4.427533156583,-0.501220721751736,16.4390625,21.1875,12.3625,18.2960473272075,23.0882893364869,14.4292251595839,46.74835,7.64059,1177483,2615432,"forest","Bächihölzli"
"418",2.15299804137353,5.46140659571221,0.253480964370183,16.4333333333333,21.1875,12.3625,18.9171543484744,23.3324352763155,15.1301864779634,46.74619,7.63853,1177242,2615275,"water","Schadau"
"420",1.81239432356679,4.09418710739808,0.215317514813966,16.4333333333333,21.1875,12.3625,18.5765506306677,23.3924064113324,14.4269442537067,46.74678,7.62247,1177305,2614048,"green urban","Hohmad"
"421",1.44717772637491,3.10714456015869,-0.0696955825131607,16.4333333333333,21.1875,12.3625,18.2113340334758,23.2905444927647,14.0689644210473,46.73948,7.61728,1176492,2613653,"green urban","Neufeld"
"422",2.07549336059149,5.12053912031739,0.34143492027161,16.4333333333333,21.1875,12.3625,18.8396496676924,22.9401194654256,14.7818643345795,46.74004,7.63322,1176557,2614871,"water","Strandbad"
"423",1.55142131431042,3.0305617545332,0.143608059306731,16.4333333333333,21.1875,12.3625,18.3155776214113,23.472349380738,14.3122313776354,46.7316,7.61812,1175616,2613719,"dense urban","Schoren"
"424",0.212350964439543,1.05584245695684,-0.821554481066098,16.4333333333333,21.1875,12.3625,16.9765072715405,21.5853670748455,13.0918577223367,46.7309,7.60847,1175537,2612982,"rural","Buchholz"
"425",0.997572283836303,2.52776108822258,-0.299332735688308,16.4333333333333,21.1875,12.3625,17.7617285909372,22.6025453955901,14.29003426922,46.71913,7.62173,1174231,2613998,"green urban","Gwatt"
"426",0.973806212733885,4.40067966226698,-2.02877120368251,16.4333333333333,21.1875,12.3625,17.7379625198348,22.718309713639,12.9016746776532,46.76323,7.6639,1179141,2617208,"rural","Goldiwil"
