"Log_NR","UHI_mean","UHI_max","UHI_min","AT_mean","AT_max","AT_min","AT_LCD_mean","AT_LCD_max","AT_LCD_min","NORD_CHTOPO","OST_CHTOPO","LV_03_N","LV_03_E","LU_7","Location"
"401",0,0,0,16.3143442622951,24.8,8.6,16.622745287906,25.3952086671244,8.91126878767071,46.74982,7.58521,1177635.984,2611199.79,"low green","Referenz 3m"
"402",-0.136481939310202,0.993139798072271,-1.23124411891865,16.3143442622951,24.8,8.6,16.4924968354554,25.547417410544,8.62198316421251,46.74982,7.58521,1177635.984,2611199.79,"low green","Referenz 2m"
"403",0.925154820592934,3.2765824877292,-1.60019455252918,16.3143442622951,24.8,8.6,17.7000692590049,25.3978789959564,8.88367538974085,46.75077,7.60025,1177744.305,2612349.203,"forest","Burgerwald"
"404",1.38030933119505,4.08159761959258,-0.75703822384985,16.3143442622951,24.8,8.6,17.5742321779984,26.7855598789451,9.2067851784034,46.74515,7.60521,1177120,2612729,"dense urban","Stockhorn Arena"
"405",0.539178470634918,3.281166552224,-1.18362325474937,16.3143442622951,24.8,8.6,17.167530701833,26.0338623127591,8.76796114035757,46.75718,7.60421,1178458,2612650,"low green","Thunerallmend"
"406",1.89132215418371,4.69933368937718,-0.186923018234531,16.3143442622951,24.8,8.6,18.5170691781639,27.7491035324636,9.59709824266931,46.76261,7.60603,1179061,2612788,"dense urban","KVA Parkplatz"
"407",1.44605076568587,4.23674372472724,-0.441138323033492,16.3143442622951,24.8,8.6,18.0735722713068,27.1754278884057,9.23793901477582,46.76181,7.60933,1178973,2613040,"low green","KVA Grünfläche"
"408",1.41736439241048,3.96089875638971,-0.385951527173781,16.3143442622951,24.8,8.6,18.043222797271,27.448246484067,9.36255436026551,46.76604,7.60234,1179442,2612505,"green urban","Lerchenfeld"
"409",1.56171389374963,4.30020853996592,-0.864741486737362,16.3143442622951,24.8,8.6,18.7612988531858,27.3574553037817,11.9363062994329,46.76011,7.62234,1178786,2614034,"green urban","Scheibenstrasse"
"410",0.475532402254294,3.9797690801353,-2.2809058772666,16.3143442622951,24.8,8.6,17.1022706979708,24.5896594694947,7.95084051778948,46.76289,7.63818,1179098,2615244,"green urban","Lauenenweg"
"411",1.71471270188156,5.36006205335572,-0.702741537600772,16.3143442622951,24.8,8.6,18.3404121313608,27.6040156659291,9.28155438569721,46.76149,7.63146,1178942,2614731,"dense urban","Spital"
