term,estimate,std.error,statistic,p.value,significant
DEM_150:PP_1d,0.000,0.000,-3.118,0.002,TRUE
DEM_150:WT,0.001,0.000,3.009,0.003,TRUE
DEM_150:WD_L_8SE,0.009,0.003,2.905,0.004,TRUE
WD_L_8SE,-5.234,1.842,-2.841,0.005,TRUE
DEM_150:WD_L_8W,0.008,0.003,2.611,0.009,TRUE
GA_1000:PP_1d,-0.044,0.017,-2.572,0.010,TRUE
GA_1000:WT,0.193,0.075,2.571,0.010,TRUE
PP_1d,0.063,0.025,2.535,0.011,TRUE
DEM_150:AT,0.000,0.000,-2.533,0.011,TRUE
GWT26_Z50018,-2.335,0.923,-2.530,0.011,TRUE
DEM_150:WD_L_8E,0.008,0.003,2.513,0.012,TRUE
DEM_150:WD_L_8SW,0.008,0.003,2.488,0.013,TRUE
GA_1000:WS_L,0.110,0.045,2.453,0.014,TRUE
DEM_150:WD_L_8NW,0.008,0.003,2.441,0.015,TRUE
WD_L_8E,-4.392,1.799,-2.441,0.015,TRUE
DEM_150:WD_L_8NE,0.009,0.004,2.410,0.016,TRUE
WD_8E,4.287,1.792,2.392,0.017,TRUE
WD_L_8NE,-4.862,2.084,-2.332,0.020,TRUE
WD_L_8SW,-4.307,1.860,-2.315,0.021,TRUE
WD_L_8W,-4.193,1.851,-2.265,0.024,TRUE
BH_25:AT,-0.007,0.003,-2.184,0.029,TRUE
WD_L_8NW,-4.035,1.892,-2.132,0.033,TRUE
DEM_150:WD_L_8S,0.007,0.003,2.081,0.038,TRUE
WD_L_8S,-4.117,1.989,-2.070,0.039,TRUE
DEM_150:GWT26_Z50018,0.003,0.002,2.036,0.042,TRUE
DEM_150,-0.010,0.005,-1.969,0.049,TRUE
BH_25:GR_3d,0.000270609,0.000138654,1.951684556,0.051077046,FALSE
GWT26_Z50010,-1.716959676,0.893125993,-1.922415974,0.054656626,FALSE
DEM_150:WD_8E,-0.006050857,0.003195543,-1.893529984,0.058392299,FALSE
GA_1000:AT,-0.120904765,0.064220358,-1.88265481,0.059852645,FALSE
WT,-0.183884834,0.098513976,-1.866586253,0.062065738,FALSE
GA_1000:WD_L_8_3dNW,-2.120278906,1.14651562,-1.849324047,0.064518278,FALSE
GWT26_Z5009,-1.561345232,0.882429106,-1.769371864,0.076942647,FALSE
SE_50:WD_L_8_3dSW,-0.996227302,0.563195853,-1.768882525,0.077024309,FALSE
FO_500:WS_L,0.241354746,0.138244258,1.745857292,0.080947422,FALSE
DEM_150:GWT26_Z5009,0.002735049,0.001589925,1.720237932,0.085501702,FALSE
DEM_150:GWT26_Z50010,0.002721415,0.001607216,1.693247682,0.090521589,FALSE
GA_1000:GR_3d,0.004895715,0.002894328,1.691485938,0.090857333,FALSE
GR_3d,0.006310176,0.003759031,1.678670861,0.09332982,FALSE
NDVI:WT,-0.154774855,0.094260991,-1.641982054,0.100708062,FALSE
NDVI:WS_L,-0.092296372,0.05682858,-1.62411892,0.104465034,FALSE
WD_8NW,2.018511969,1.267218897,1.592867637,0.111304813,FALSE
DEM_150:WS_3d,-0.000431439,0.000270869,-1.592798765,0.111320268,FALSE
GA_1000:WD_L_8_3dW,-1.714634576,1.077566795,-1.591209551,0.111677362,FALSE
NDVI:WD_8SW,-2.440172461,1.566449158,-1.557773164,0.119402098,FALSE
GA_1000:WD_L_8_3dSE,-1.712367249,1.121441948,-1.526933474,0.126892555,FALSE
GA_1000:WD_L_8_3dS,-1.771278185,1.182261171,-1.498212264,0.134192883,FALSE
SLO:AT,-0.003265882,0.002180445,-1.497805385,0.13429859,FALSE
BH_25:PP_bool_1d,-0.022955824,0.01537336,-1.493220996,0.135494065,FALSE
WS_3d,0.230224125,0.154907525,1.486203619,0.137339901,FALSE
FO_500:GWT26_Z50016,6.855057033,4.648479115,1.474688143,0.140410874,FALSE
GA_1000:WD_L_8_3dNE,-1.735563299,1.190255235,-1.458143806,0.1449151,FALSE
SE_50:GR_3d,0.002075758,0.001426794,1.45484028,0.145827614,FALSE
PP_bool_1d,-0.563005203,0.38853424,-1.449049132,0.147437879,FALSE
SE_50:WD_L_8_3dSE,-0.797975626,0.554489279,-1.439118223,0.150230837,FALSE
NDVI:PP_1d,0.032183964,0.022938405,1.403060221,0.160711774,FALSE
GA_1000:GWT26_Z5003,-1.755087253,1.256452076,-1.396859687,0.162568479,FALSE
GA_1000:WD_L_8_3dE,-1.53381014,1.102116604,-1.391694975,0.164127337,FALSE
GA_1000:WD_L_8_3dSW,-1.562344565,1.124422934,-1.389463446,0.164804352,FALSE
SLO:PP_bool_1d,-0.014596141,0.010678701,-1.366846152,0.17178526,FALSE
SE_50:WT,0.050834178,0.037722256,1.34759115,0.177900928,FALSE
SLO:WS_L,-0.002016001,0.00151244,-1.332945754,0.182660024,FALSE
SE_50:PP_1d,-0.011982428,0.009234263,-1.297605346,0.194531819,FALSE
NDVI:GWT26_Z50025,1.272364163,1.026078411,1.240026249,0.215071482,FALSE
NDVI:WD_8S,-1.943057198,1.568547265,-1.238762287,0.215539267,FALSE
DEM_150:GWT26_Z50025,-0.002214287,0.001892384,-1.170104378,0.242060362,FALSE
SLO:WD_L_8NW,0.057399497,0.049173162,1.167293176,0.243193196,FALSE
DEM_150:WD_8NW,-0.002707552,0.002342257,-1.155958616,0.247798501,FALSE
NDVI:GWT26_Z5002,0.987231414,0.861328736,1.14617262,0.251823458,FALSE
SE_50:WD_L_8_3dE,-0.623550701,0.544836177,-1.144473748,0.25252682,FALSE
SE_50:WD_L_8_3dNW,-0.646261834,0.567179371,-1.139431133,0.254622615,FALSE
SE_50:WD_L_8_3dS,-0.65851816,0.589263415,-1.117527651,0.263866404,FALSE
AT,0.089101954,0.080116888,1.112149472,0.266171102,FALSE
BH_25:WS_L,-0.002489374,0.002244218,-1.109238841,0.267424153,FALSE
WD_8S,1.522213566,1.394929531,1.091247646,0.275259527,FALSE
DEM_150:WS_L,0.000111542,0.000105538,1.056880559,0.290658935,FALSE
SE_50:WD_L_8_3dW,-0.558427208,0.530160027,-1.053318205,0.292287716,FALSE
GA_1000:WD_8SW,1.209614299,1.152568634,1.049494376,0.294042863,FALSE
